Date Interrogation,Date Vol,Liaison,Vol,Depart,Arrivee,Light (€),Standard (€),Top (€)
01/08/2026,08/08/2026,AJA-ORY,XK1101,15:05,16:50,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK776,19:05,20:45,392.43,418.43,444.43
01/08/2026,08/08/2026,AJA-ORY,XK1103,20:10,21:55,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK1105,20:45,22:30,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-NCE,XK5200,10:25,11:15,311.56,323.56,342.56
01/08/2026,08/08/2026,AJA-NCE,XK5200,10:25,11:15,311.56,323.56,342.56
01/08/2026,08/08/2026,AJA-NCE,XK106,18:20,19:10,311.56,323.56,342.56
01/08/2026,08/08/2026,AJA-CDG,XK1501,21:15,23:00,289.92,315.92,341.92
01/08/2026,08/08/2026,AJA-ORY,XK770,06:00,07:40,327.43,353.43,379.43
01/08/2026,08/08/2026,AJA-ORY,XK1135,10:15,12:00,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK530,12:25,14:05,327.43,353.43,379.43
01/08/2026,08/08/2026,AJA-ORY,XK1133,14:30,16:15,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK1101,15:05,16:50,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK776,19:05,20:45,392.43,418.43,444.43
01/08/2026,08/08/2026,AJA-ORY,XK1103,20:10,21:55,294.43,320.43,346.43
01/08/2026,08/08/2026,AJA-ORY,XK1105,20:45,22:30,294.43,320.43,346.43
